Region,Month,k,a,b,T0,beta,c,Sigma,R2
All,1,12,337.5699,3.36,10.0241,30.0966,-140,7.6,0.986
All,2,12,302.8633,3.31,10.006,28.0429,-140,7.5,0.988
All,3,12,363.818,3.44,10.5024,30.1222,-140,10.3,0.991
All,4,12,339.8059,3.26,10.3516,29.4187,-140,7.4,0.997
All,5,12,327.1587,2.79,10.053,30.1473,-140,3.6,0.999
All,6,13,370.5585,3.13,11.1296,29.9647,-150,2.2,1
All,7,15,410.0218,3.12,11.6278,30.7456,-150,1.7,1
All,8,15,412.2794,3.13,11.6613,30.7429,-150,1.6,1
All,9,13,342.8546,2.96,10.5144,29.7243,-145,2.1,1
All,10,12,344.9987,3.19,10.2648,30.411,-145,5,0.999
All,11,11,304.7169,3.15,9.5882,29.4263,-140,7,0.995
All,12,12,341.0866,3.29,10.0869,30.1269,-140,7,0.99
West,1,12,299.5106,2.58,9.6754,29.8768,-140,4.3,0.997
West,2,12,250.6012,2.42,9.2207,27.9937,-140,5,0.997
West,3,12,318.4976,2.63,10.0133,30.0353,-140,6.3,0.997
West,4,12,308.1068,2.75,10.0143,29.3949,-140,5.9,0.998
West,11,12,322.3119,2.85,10.2178,29.34,-140,5,0.998
West,12,12,289.4347,2.55,9.4137,30.0054,-140,4.9,0.996
East,1,12,295.5816,3.29,8.7948,30.1798,-140,4,0.996
East,2,12,283.2021,3.44,9.3056,28.0894,-140,3.9,0.996
East,3,12,308.5948,3.34,9.135,30.1602,-140,6.5,0.996
East,4,12,309.8332,3.13,9.615,29.4255,-140,5.9,0.998
East,11,12,309.4319,3.26,9.5599,29.4366,-140,5,0.997
East,12,12,326.1452,3.39,9.5931,30.1914,-140,3.8,0.997
